LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-121.7547752,37.6891389,204,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,dc3cba2f5f3eeb9e
-121.754706,37.6891669,206,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,741d9ee2133cec53
-121.7546416,37.6892037,208,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,710c77792bd3fb14
-121.7545833,37.68923,210,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,1ad0c28c9e202d8f
-121.7546598,37.6889827,214,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,edf4d270e9bfe758
-121.7545263,37.6890475,218,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,127a9dd54a341e04
-121.754468,37.6890738,220,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,46cfa97635ea29b3
-121.7547156,37.6889493,212,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,9a3e696d5bfb8117
-121.7545907,37.6890107,216,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,b1c48a449069d723
-121.7545323,37.6888157,224,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,b1905587d46603de
-121.7543988,37.6888805,228,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,0ef7a720b130d4ed
-121.7543405,37.6889068,230,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,9cea8ec5e50333cf
-121.7545881,37.6887823,222,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,34e6d2e8629b8d78
-121.7544632,37.6888437,226,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,17226649f91abf6e
-121.754417,37.6886595,234,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,8de09b040be661f6
-121.7542835,37.6887243,238,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,ad1d1bcef35d8517
-121.7542252,37.6887506,240,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,1a7bf1e95e70d543
-121.7544728,37.6886261,232,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,3576bacfca217f78
-121.7543479,37.6886875,236,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,c91f6cecec1bb4d2
-121.7542927,37.6884993,244,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,02a164c8d46bb716
-121.7541592,37.6885641,248,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,5c6766e67e4c540a
-121.7541009,37.6885905,250,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,8b9b38e1ff8542ae
-121.7543485,37.688466,242,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,efc12da616e58f9f
-121.7542236,37.6885273,246,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,632c84873e2297ca
-121.7541774,37.6883431,254,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,795eac3daee86c47
-121.7540439,37.6884079,258,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,6dd59447cb2d58a1
-121.7539856,37.6884343,260,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,48a4162cd7355f1a
-121.7542332,37.6883098,252,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,8342a724219bdb12
-121.7541083,37.6883711,256,PLUM TREE ST,,LIVERMORE,,,94551,99-1390-7,0d23087003f28546
-121.7549005,37.6893227,3727,FIRST ST,,LIVERMORE,,,94551,99-1390-7,8892420e5ff26a79
-121.7548313,37.6893507,3729,FIRST ST,,LIVERMORE,,,94551,99-1390-7,443b84fe0e1309bf
-121.754767,37.6893875,3731,FIRST ST,,LIVERMORE,,,94551,99-1390-7,b5986295b5e53133
-121.7547087,37.6894139,3733,FIRST ST,,LIVERMORE,,,94551,99-1390-7,dc769a15fca9c68a
-121.7552245,37.6891705,3719,FIRST ST,,LIVERMORE,,,94551,99-1390-7,dc367596a5edd838
-121.7551554,37.6891985,3721,FIRST ST,,LIVERMORE,,,94551,99-1390-7,0699899528bc8c55
-121.755091,37.6892353,3723,FIRST ST,,LIVERMORE,,,94551,99-1390-7,695aa02a87ccd1ce
-121.7550327,37.6892617,3725,FIRST ST,,LIVERMORE,,,94551,99-1390-7,4391cbe51229569f
-121.7548438,37.6882447,116,APRICOT ST,,LIVERMORE,,,94551,99-1390-6,fe19a2f0f1be80a5
-121.7548038,37.6881924,118,APRICOT ST,,LIVERMORE,,,94551,99-1390-6,ae8447540793d87d
-121.7547664,37.6881436,120,APRICOT ST,,LIVERMORE,,,94551,99-1390-6,d2ed65c586e8ac04
-121.7547305,37.6880967,122,APRICOT ST,,LIVERMORE,,,94551,99-1390-6,be179cb9b18558e7
-121.7546884,37.6880449,124,APRICOT ST,,LIVERMORE,,,94551,99-1390-6,c362e07ca4f5a64a
-121.7546525,37.687998,126,APRICOT ST,,LIVERMORE,,,94551,99-1390-6,7583a408e35273d6
-121.7551536,37.6886443,104,APRICOT ST,,LIVERMORE,,,94551,99-1390-6,04d9cfae031eed2b
